epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,464.586,0.40033,0.65254,0.23158,0.84134,0,1,1,0.995,0.9101,1,1,0.995,0.8826,0.44668,1.24909,0.18513,0.82024,0,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,470.937,0.39452,0.62499,0.22381,0.84961,0,1,1,0.995,0.9101,1,1,0.995,0.8826,0.4806,1.33424,0.19487,0.83237,0,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,477.38,0.40425,0.65513,0.23434,0.86103,0,1,1,0.995,0.90847,1,1,0.995,0.85697,0.48643,1.36718,0.19599,0.83508,0,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,483.224,0.40863,0.63184,0.23853,0.87167,0,1,1,0.995,0.90847,1,1,0.995,0.84093,0.51761,1.37092,0.19606,0.84083,0,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,489.405,0.36764,0.61671,0.21426,0.82679,0,1,1,0.995,0.9075,1,1,0.995,0.836,0.55105,1.45079,0.21437,0.85246,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,495.155,0.36829,0.60868,0.21368,0.83731,0,1,1,0.995,0.9075,1,1,0.995,0.836,0.56124,1.45221,0.21456,0.85381,0,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,501.459,0.40079,0.64105,0.23567,0.83009,0,1,1,0.995,0.9075,1,1,0.995,0.836,0.54124,1.42254,0.22076,0.84903,0,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,507.333,0.40818,0.65503,0.22332,0.8661,0,1,1,0.995,0.9075,1,1,0.995,0.82,0.55345,1.51954,0.2247,0.85531,0,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,513.45,0.38428,0.63304,0.21695,0.83548,0,0.99093,1,0.995,0.90615,0.99093,1,0.995,0.83262,0.53737,1.46244,0.20069,0.85223,0,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,519.632,0.39446,0.60599,0.23721,0.84783,0,0.99093,1,0.995,0.90615,0.99093,1,0.995,0.8604,0.51954,1.37607,0.19939,0.84664,0,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,526.379,0.37357,0.61619,0.21749,0.82496,0,0.99096,1,0.995,0.90615,0.99096,1,0.995,0.8604,0.51739,1.36717,0.18708,0.83945,0,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,532.805,0.39202,0.68575,0.22704,0.86904,0,0.99101,1,0.995,0.90615,0.99101,1,0.995,0.8604,0.50168,1.31612,0.18421,0.83547,0,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,539.379,0.40479,0.63271,0.22504,0.8581,0,0.99098,1,0.995,0.90615,0.99098,1,0.995,0.88515,0.50961,1.33007,0.18284,0.83824,0,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,545.702,0.35139,0.55771,0.19669,0.83365,0,0.99101,1,0.995,0.90615,0.99101,1,0.995,0.83262,0.52071,1.36992,0.18993,0.84198,0,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,571.196,0.31694,0.55504,0.18182,0.81228,0,1,1,0.995,0.9075,1,1,0.995,0.856,0.50593,1.32401,0.19202,0.83712,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,576.887,0.31349,0.52488,0.1781,0.80855,0,1,1,0.995,0.90847,1,1,0.995,0.824,0.50658,1.2857,0.20344,0.83621,0,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,582.997,0.32133,0.5344,0.18613,0.79825,0,0.99104,1,0.995,0.88416,0.99104,1,0.995,0.83117,0.52475,1.38214,0.20258,0.84023,0,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,588.733,0.30901,0.52349,0.17658,0.81054,0,0.99093,1,0.995,0.88416,0.99093,1,0.995,0.83117,0.54041,1.42446,0.20157,0.84252,0,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,594.689,0.30288,0.51107,0.17127,0.78493,0,0.99103,1,0.995,0.89175,0.99103,1,0.995,0.86433,0.54823,1.46975,0.20675,0.84634,0,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,600.197,0.30725,0.52295,0.1757,0.81679,0,1,1,0.995,0.8945,1,1,0.995,0.86773,0.54814,1.46272,0.20526,0.84439,0,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,606.02,0.31056,0.50559,0.17966,0.80133,0,0.9911,1,0.995,0.89175,0.9911,1,0.995,0.86433,0.54052,1.41937,0.20207,0.84167,0,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,611.509,0.31529,0.54174,0.19111,0.80816,0,0.99103,1,0.995,0.89175,0.99103,1,0.995,0.86433,0.53532,1.39643,0.19671,0.83954,0,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,617.341,0.30188,0.50316,0.17542,0.81249,0,1,1,0.995,0.9101,1,1,0.995,0.86773,0.52313,1.37506,0.18952,0.83721,0,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
